transaction_id,transaction_date,amount,currency,description,vendor_name,gst_applicable,gst_slab,itc_eligible,category_label,is_anomaly
TXN0000001,01-04-2024,7641.92,INR,service fees,IKEA,True,exempt,false,Office Supplies,0
TXN0000002,01-04-2024,58560.14,INR, upi awfis rcpt/2404/002 fy24 - ent ex# ref 6160,Awfis,True,12%,unknown,Rent,0
TXN0000003,01-04-2024,2184.95,INR,bill paid,ZOMATO,True,5%,FALSE,Office Supplies,0
TXN0000004,01-04-2024,5375.79,INR,!UPI UBER INDIA PVT LTD TAXINV/2501/924 2 - exp rf 7593,OFFICE DEPOT Pvt Ltd,True,exempt,unknown,Office Supplies,0
TXN0000005,01-04-2024,68830.1,INR,auto debit,AWFIS INDIA PVT LTD,True,18%,TRUE,Rent,0
TXN0000006,01-04-2024,11191.62,INR,pymt processed,KSEB,True,18%,TRUE,Utilities,0
TXN0000007,01-04-2024,2194.96,INR,NEFT ZOMATO Pvt Ltd BILL/2404/007 Q2 - meals exp! ref 3428,ZOMATO Pvt Ltd,True,12%,true,Meals,0
TXN0000008,01-04-2024,66302.55,INR,upi indiqube pvt ltd taxinv/2404/008 subs - exp,INDIQUBE Pvt Ltd,True,5%,unknown,Rent,0
TXN0000009,01-04-2024,36701.08,INR,-,TEC.hm,True,18%,TRUE,IT Services,0
TXN0000010,01-04-2024,20461.62,INR,CARD TECHM BILL/2404/010 ADV - exp,TECHM,True,5%,true,IT Services,0
TXN0000011,01-04-2024,48153.44,INR,monthly charges,TCS,True,18%,TRUE,Training,0
TXN0000012,01-04-2024,35391.94,INR,online payment,TECHM INDIA PVT LTD,True,18%,TRUE,IT Services,0
TXN0000013,01-04-2024,12885.91,INR,!NEFT FIG.m aTAXINV/2404/013 Q1 - exp* ref 3r19,FIG.ma,True,5%,unknown,Software,0
TXN0000014,01-04-2024,80319.81,INR,upi wework bill/2404/014 subs - rent exp,Wework,True,5%,false,Rent,0
TXN0000015,01-04-2024,13022.78,INR,online payment,JIOFIBER,True,18%,TRUE,Utilities,0
TXN0000016,01-04-2024,32499.02,INR,online payment,TCS INDIA PVT LTD,True,18%,TRUE,IT Services,0
TXN0000017,01-04-2024,3150.9,INR,imps wipro pvt ltd inv/2405/675 tds - exp,ROC FEES,False,exempt,FALSE,Exempt Services,0
TXN0000018,01-04-2024,28437.13,INR,n/a,HCL,True,12%,unknown,IT Services,0
TXN0000019,01-04-2024,2571.78,INR,n/a,ZOMATO,True,28%,unknown,Meals,0
TXN0000020,01-04-2024,38966.64,INR,bill paid,INF.y,True,18%,TRUE,IT Services,0
TXN0000021,01-04-2024,4837.54,INR,DOMINOS INDIA PVT LTD chgs,DOMINOS INDIA PVT LTD,True,5%,TRUE,Meals,1
TXN0000022,02-04-2024,18469.25,INR,pUTO-DEBIT Techm BILL/2404/022 FY25 - ex,Techm,True,5%,unknown,IT Services,0
TXN0000023,02-04-2024,6402.14,INR,Office Depot,Office Depot,True,12%,TRUE,Office Supplies,0
TXN0000024,02-04-2024,19586.26,INR,bill paid,SIMPLILEARN Pvt Ltd,True,12%,true,Training,0
TXN0000025,02-04-2024,20220.5,INR,bill paid,BESCOM Pvt Ltd,True,18%,TRUE,Utilities,0
TXN0000026,02-04-2024,14498.96,INR,/ imps awfis india pvt ltd taxinv/2412/731 gst - exp,KSEB Pvt Ltd,True,28%,unknown,Utilities,0
TXN0000027,02-04-2024,8642.19,INR,bill paid,Ikea,True,12%,TRUE,Office Supplies,0
TXN0000028,02-04-2024,6621.61,INR,service fees,OLA INDIA PVT LTD,True,5%,FALSE,Travel,0
TXN0000029,02-04-2024,7740.91,INR,monthly charges,MICROSOFT INDIA PVT LTD,True,28%,true,Software,0
TXN0000030,02-04-2024,3950.29,INR,OFFICE DEPOT Pvt Ltd,OFFICE DEPOT Pvt Ltd,True,12%,TRUE,Office Supplies,0
