transaction_id,transaction_date,amount,currency,description,vendor_name,gst_applicable,gst_slab,itc_eligible,category_label,is_anomaly
TXN0000001,01-04-2024,7641.92,INR,imps ikea rcpt/2404/001 subs - office supplies exp,IKEA,TRUE,12%,TRUE,Office Supplies,0
TXN0000002,01-04-2024,58560.14,INR, upi awfis rcpt/2404/002 fy24 - rent exp# ref 6160,Awfis,TRUE,18%,TRUE,Rent,0
TXN0000003,01-04-2024,2184.95,INR, / imps zomato inv/2404/003 q2 - meals exp,ZOMATO,TRUE,5%,FALSE,Meals,0
TXN0000004,01-04-2024,5375.79,INR,*CARD OFFICE DEPOT Pvt Ltd INV/2404/004 FY25 - office supplies exp,OFFICE DEPOT Pvt Ltd,TRUE,12%,TRUE,Office Supplies,0
TXN0000005,01-04-2024,68830.1,INR,-UPI AWFIS INDIA PVT LTD TAXINV/2404/005 RENT - rent exp /  ref 8883,AWFIS INDIA PVT LTD,TRUE,18%,TRUE,Rent,0
TXN0000006,01-04-2024,11191.62,INR, / card kseb rcpt/2404/006 rent - utilities exp,KSEB,TRUE,18%,TRUE,Utilities,0
TXN0000007,01-04-2024,2194.96,INR,NEFT ZOMATO Pvt Ltd BILL/2404/007 Q2 - meals exp! ref 3428,ZOMATO Pvt Ltd,TRUE,5%,FALSE,Meals,0
TXN0000008,01-04-2024,66302.55,INR,upi indiqube pvt ltd taxinv/2404/008 subs - rent exp,INDIQUBE Pvt Ltd,TRUE,18%,TRUE,Rent,0
TXN0000009,01-04-2024,36701.08,INR,UPI TEC.hm BILL/2404/009 GST - it services exp,TEC.hm,TRUE,18%,TRUE,IT Services,0
TXN0000010,01-04-2024,20461.62,INR,CARD TECHM BILL/2404/010 ADV - it services exp,TECHM,TRUE,18%,TRUE,IT Services,0
TXN0000011,01-04-2024,48153.44,INR,*auto-debit tcs rcpt/2404/011 fy24 - it services exp,TCS,TRUE,18%,TRUE,IT Services,0
TXN0000012,01-04-2024,35391.94,INR,*card techm india pvt ltd taxinv/2404/012 fy24 - it services exp,TECHM INDIA PVT LTD,TRUE,18%,TRUE,IT Services,0
TXN0000013,01-04-2024,12885.91,INR,!NEFT FIG.ma TAXINV/2404/013 Q1 - software exp* ref 3319,FIG.ma,TRUE,18%,TRUE,Software,0
TXN0000014,01-04-2024,80319.81,INR,upi wework bill/2404/014 subs - rent exp,Wework,TRUE,18%,TRUE,Rent,0
TXN0000015,01-04-2024,13022.78,INR,auto-debit jiofiber taxinv/2404/015 subs - utilities exp,JIOFIBER,TRUE,18%,TRUE,Utilities,0
TXN0000016,01-04-2024,32499.02,INR,-AUTO-DEBIT TCS INDIA PVT LTD TAXINV/2404/016 SUBS - it services exp,TCS INDIA PVT LTD,TRUE,18%,TRUE,IT Services,0
TXN0000017,01-04-2024,3150.9,INR,*card roc fees bill/2404/017 q1 - exempt services exp,ROC FEES,FALSE,exempt,FALSE,Exempt Services,0
TXN0000018,01-04-2024,28437.13,INR,!AUTO-DEBIT HCL BILL/2404/018 SUBS - it services exp,HCL,TRUE,18%,TRUE,IT Services,0
TXN0000019,01-04-2024,2571.78,INR,!AUTO-DEBIT ZOMATO INV/2404/019 GST - meals exp,ZOMATO,TRUE,5%,FALSE,Meals,0
TXN0000020,01-04-2024,38966.64,INR,!AUTO-DEBIT INF.y INV/2404/020 ADV - it services exp,INF.y,TRUE,18%,TRUE,IT Services,0
TXN0000021,01-04-2024,4837.54,INR,rtgs dominos india pvt ltd taxinv/2404/021 fy24 - meals exp,DOMINOS INDIA PVT LTD,TRUE,5%,TRUE,Meals,1
TXN0000022,02-04-2024,18469.25,INR,AUTO-DEBIT Techm BILL/2404/022 FY25 - it services exp,Techm,TRUE,18%,TRUE,IT Services,0
TXN0000023,02-04-2024,6402.14,INR,-upi office depot inv/2404/023 tds - office supplies exp,Office Depot,TRUE,12%,TRUE,Office Supplies,0
TXN0000024,02-04-2024,19586.26,INR,-neft simplilearn pvt ltd inv/2404/024 fy25 - training exp* ref 2379,SIMPLILEARN Pvt Ltd,TRUE,18%,unknown,Training,0
TXN0000025,02-04-2024,20220.5,INR,neft bescom pvt ltd inv/2404/025 tds - utilities exp- ref 2059,BESCOM Pvt Ltd,TRUE,18%,TRUE,Utilities,0
TXN0000026,02-04-2024,14498.96,INR,UPI KSEB Pvt Ltd TAXINV/2404/026 FY24 - utilities exp,KSEB Pvt Ltd,TRUE,18%,TRUE,Utilities,0
TXN0000027,02-04-2024,8642.19,INR,IMPS Ikea INV/2404/027 GST - office supplies exp,Ikea,TRUE,12%,TRUE,Office Supplies,0
TXN0000028,02-04-2024,6621.61,INR,card ola india pvt ltd bill/2404/028 q2 - travel exp,OLA INDIA PVT LTD,TRUE,5%,FALSE,Travel,0
TXN0000029,02-04-2024,7740.91,INR,IMPS MICROSOFT INDIA PVT LTD BILL/2404/029 FY25 - software exp /  ref 7825,MICROSOFT INDIA PVT LTD,TRUE,18%,TRUE,Software,0
TXN0000030,02-04-2024,3950.29,INR,UPI OFFICE DEPOT Pvt Ltd BILL/2404/030 ADV - office supplies exp,OFFICE DEPOT Pvt Ltd,TRUE,12%,TRUE,Office Supplies,0
TXN0000031,02-04-2024,33992.82,INR, card infy india pvt ltd inv/2404/031 fy25 - it services exp! ref 9694,INFY INDIA PVT LTD,TRUE,18%,TRUE,IT Services,0
TXN0000032,02-04-2024,5830.77,INR,neft staples bill/2404/032 q1 - office supplies exp,STAPLES,TRUE,12%,TRUE,Office Supplies,0
TXN0000033,02-04-2024,3930.8,INR,-auto-debit govt fees bill/2404/033 fy24 - exempt services exp,GOVT FEES,FALSE,exempt,FALSE,Exempt Services,0
TXN0000034,02-04-2024,29991.94,INR,!imps infy inv/2404/034 subs - it services exp! ref 6894,INFY,TRUE,18%,TRUE,IT Services,0
TXN0000035,02-04-2024,112591.94,INR,rtgs awfis pvt ltd rcpt/2404/035 q2 - rent exp* ref 9668,AWFIS Pvt Ltd,TRUE,18%,TRUE,Rent,0
TXN0000036,03-04-2024,2219.38,INR,NEFT DOMINOS BILL/2404/036 GST - meals exp,DOMINOS,TRUE,12%,FALSE,Meals,1
TXN0000037,03-04-2024,44506.81,INR,AUTO-DEBIT Wipro INV/2404/037 Q1 - it services exp,Wipro,TRUE,18%,TRUE,IT Services,0
TXN0000038,03-04-2024,3462.58,INR,AUTO-DEBIT GOVT FEES Pvt Ltd TAXINV/2404/038 Q1 - exempt services exp,GOVT FEES Pvt Ltd,FALSE,exempt,FALSE,Exempt Services,0
TXN0000039,03-04-2024,6437.96,INR,RTGS Office Depot INV/2404/039 GST - office supplies exp,Office Depot,TRUE,12%,TRUE,Office Supplies,0
TXN0000040,03-04-2024,14437.47,INR, / UPI UPG.rad TAXINV/2404/040 FY24 - training exp,UPG.rad,TRUE,18%,unknown,Training,0
TXN0000041,03-04-2024,9817.83,INR,UPI KSEB Pvt Ltd BILL/2404/041 RENT - utilities exp- ref 2204,KSEB Pvt Ltd,TRUE,18%,TRUE,Utilities,0
TXN0000042,03-04-2024,29378.31,INR,NEFT INFY INV/2404/042 Q1 - it services exp,INFY,TRUE,18%,TRUE,IT Services,0
TXN0000043,03-04-2024,31827.96,INR,card sim.plilearn taxinv/2404/043 tds - training exp  ref 1111,SIM.plilearn,TRUE,18%,unknown,Training,0
TXN0000044,03-04-2024,4910.73,INR,auto-debit swiggy inv/2404/044 subs - meals exp,SWIGGY,TRUE,5%,FALSE,Meals,0
TXN0000045,03-04-2024,41773.49,INR,*NEFT INF.y BILL/2404/045 Q1 - it services exp,INF.y,TRUE,18%,TRUE,IT Services,0
TXN0000046,03-04-2024,46271.02,INR,IMPS AWFIS Pvt Ltd BILL/2404/046 Q2 - rent exp# ref 4930,AWFIS Pvt Ltd,TRUE,18%,TRUE,Rent,0
TXN0000047,03-04-2024,19149.73,INR,imps simplilearn india pvt ltd taxinv/2404/047 fy25 - training exp,SIMPLILEARN INDIA PVT LTD,TRUE,18%,unknown,Training,0
TXN0000048,03-04-2024,18026.58,INR,#neft hcl bill/2404/048 tds - it services exp,HCL,TRUE,18%,TRUE,IT Services,0
TXN0000049,03-04-2024,93935.93,INR,-neft wework inv/2404/049 tds - rent exp,WEWORK,TRUE,18%,TRUE,Rent,0
TXN0000050,03-04-2024,7743.88,INR,AUTO-DEBIT Figma BILL/2404/050 Q2 - software exp! ref 2705,Figma,TRUE,18%,TRUE,Software,0
TXN0000051,03-04-2024,124916.34,INR,#NEFT INDIQUBE BILL/2404/051 ADV - rent exp! ref 3798,INDIQUBE,TRUE,18%,TRUE,Rent,0
TXN0000052,04-04-2024,24330.84,INR,!UPI WIPRO Pvt Ltd RCPT/2404/052 RENT - it services exp,WIPRO Pvt Ltd,TRUE,18%,TRUE,IT Services,0
TXN0000053,04-04-2024,9405.88,INR,CARD Staples TAXINV/2404/053 FY25 - office supplies exp,Staples,TRUE,12%,TRUE,Office Supplies,0
TXN0000054,04-04-2024,34518.11,INR,RTGS WIPRO INDIA PVT LTD TAXINV/2404/054 Q2 - it services exp  ref 4864,WIPRO INDIA PVT LTD,TRUE,18%,TRUE,IT Services,0
TXN0000055,04-04-2024,16910.15,INR, auto-debit airtel bill/2404/055 fy24 - utilities exp,Airtel,TRUE,18%,TRUE,Utilities,0
TXN0000056,04-04-2024,4390.51,INR,!rtgs office depot rcpt/2404/056 subs - office supplies exp# ref 7900,OFFICE DEPOT,TRUE,12%,TRUE,Office Supplies,0
TXN0000057,04-04-2024,9451.72,INR, upi adobe inv/2404/057 q2 - software exp,Adobe,TRUE,18%,TRUE,Software,0
TXN0000058,04-04-2024,2638.66,INR,*rtgs dominos bill/2404/058 q2 - meals exp,Dominos,TRUE,5%,FALSE,Meals,0
TXN0000059,04-04-2024,3702.68,INR, RTGS Ikea INV/2404/059 SUBS - office supplies exp,Ikea,TRUE,12%,TRUE,Office Supplies,0
TXN0000060,04-04-2024,7664.31,INR,*card ikea bill/2404/060 subs - office supplies exp,IKEA,TRUE,12%,TRUE,Office Supplies,0
TXN0000061,04-04-2024,7775.13,INR,#upi uber bill/2404/061 rent - travel exp# ref 9363,Uber,TRUE,5%,FALSE,Travel,0
TXN0000062,05-04-2024,107840.91,INR,-upi wework inv/2404/062 gst - rent exp,WEWORK,TRUE,18%,TRUE,Rent,0
TXN0000063,05-04-2024,193030.77,INR,!NEFT WEWORK INDIA PVT LTD TAXINV/2404/063 RENT - rent exp,WEWORK INDIA PVT LTD,TRUE,18%,TRUE,Rent,0
TXN0000064,05-04-2024,11218.4,INR, RTGS AIRTEL TAXINV/2404/064 GST - utilities exp! ref 2094,AIRTEL,TRUE,18%,TRUE,Utilities,0
TXN0000065,05-04-2024,15864.68,INR,!RTGS Jiofiber TAXINV/2404/065 FY25 - utilities exp* ref 3648,Jiofiber,TRUE,18%,TRUE,Utilities,0
TXN0000066,05-04-2024,16300.56,INR,IMPS KSEB INV/2404/066 ADV - utilities exp /  ref 3871,KSEB,TRUE,18%,TRUE,Utilities,0
