transaction_id,transaction_date,amount,currency,description,vendor_name,gst_applicable,gst_slab,itc_eligible,category_label,is_anomaly
TXN0000001,01-04-2024,7641.92,INR,imhs ikea rcpt/2404/001 subs - exp,IKEA,True,12%,TRUE,Office Supplies,0
TXN0000002,01-04-2024,58560.14,INR, upi awfis rcpt/2404/002 fy24 - rent exp# ref 6160,Awfis,True,18%,TRUE,Rent,0
TXN0000003,01-04-2024,2184.95,INR,ZOMATO,ZOMATO,True,5%,FALSE,Meals,0
TXN0000004,01-04-2024,5375.79,INR,*CARD OFFICE DEPOT Pvt Ltd INV/2404/004 FY25 - exp,OFFICE DEPOT Pvt Ltd,True,12%,TRUE,Office Supplies,0
TXN0000005,01-04-2024,68830.1,INR,,AWFIS INDIA PVT LTD,True,18%,TRUE,Rent,0
TXN0000006,01-04-2024,11191.62,INR,/ card kseb rcpt/2404/006 rent - exp,KSEB,True,18%,TRUE,Utilities,0
TXN0000007,01-04-2024,2194.96,INR,NEFT ZOMAO Pvt Ltd BILL/2404/007 Q2 - meals exp! ref 3428,ZOMATO Pvt Ltd,True,5%,FALSE,Meals,0
TXN0000008,01-04-2024,66302.55,INR,upi indiqube pvt ltd taxinv/2404/008 subs - exp,INDIQUBE Pvt Ltd,True,18%,TRUE,Rent,0
TXN0000009,01-04-2024,36701.08,INR,-,TEC.hm,True,18%,TRUE,IT Services,0
TXN0000010,01-04-2024,20461.62,INR,CARD TECHM BILL/2404/010 ADV - exp,TECHM,True,18%,TRUE,IT Services,0
TXN0000011,01-04-2024,48153.44,INR,*auto-debit tcs rcpt/2404/011 fy24 - exp,TCS,True,18%,TRUE,IT Services,0
TXN0000012,01-04-2024,35391.94,INR,*card techm india pvt ltd taxinv/2404/012 fy24 - exp,TECHM INDIA PVT LTD,True,18%,TRUE,IT Services,0
TXN0000013,01-04-2024,12885.91,INR,!NEFT FIG.ma TAXINV/2404/013 Q1 - exp* ref 3319,FIG.ma,True,18%,TRUE,Software,0
TXN0000014,01-04-2024,80319.81,INR,upi wework bill/2404/014 subs - rent exp,Wework,True,18%,TRUE,Rent,0
TXN0000015,01-04-2024,13022.78,INR,auto-debit jiofiber taxinv/2404/015 subs - utilities exp,JIOFIBER,True,18%,TRUE,Utilities,0
TXN0000016,01-04-2024,32499.02,INR,TCS INDIA PVT LTD charges,TCS INDIA PVT LTD,True,18%,TRUE,IT Services,0
TXN0000017,01-04-2024,3150.9,INR,*card bill/2404/017 q1 - exp,ROC FEES,False,exempt,FALSE,Exempt Services,0
TXN0000018,01-04-2024,28437.13,INR,!AUTO-DEBIT HCL BILL/2404/018 SUBS - exp,HCL,True,18%,TRUE,IT Services,0
TXN0000019,01-04-2024,2571.78,INR,ZOMATO charges,ZOMATO,True,5%,FALSE,Meals,0
TXN0000020,01-04-2024,38966.64,INR,!AUTO-DEBIT INF.y INV/24d4/020 ADV - it services exp,INF.y,True,18%,TRUE,IT Services,0
TXN0000021,01-04-2024,4837.54,INR,rtgs dominos india pvt ltd taxinv/2404/021 fr24 - exp,DOMINOS INDIA PVT LTD,True,5%,TRUE,Meals,1
TXN0000022,02-04-2024,18469.25,INR,AUT-DEBIT Techm BILL/2404/022 FY25 - exp,Techm,True,18%,TRUE,IT Services,0
TXN0000023,02-04-2024,6402.14,INR,-upi office depot inv/2404/023 tds - exp,Office Depot,True,12%,TRUE,Office Supplies,0
TXN0000024,02-04-2024,19586.26,INR,-neft simplilearn pvt ltd inv/2404/024 fy25 - exp* ref 2379,SIMPLILEARN Pvt Ltd,True,18%,unknown,Training,0
TXN0000025,02-04-2024,20220.5,INR,neft bescom pvt ltd inv/2404/025 tds - utilities exp- ref 2059,BESCOM Pvt Ltd,True,18%,TRUE,Utilities,0
TXN0000026,02-04-2024,14498.96,INR,UPI KSEB Pvt Ltd TAXINV/2404/026 FY24 - exp,KSEB Pvt Ltd,True,18%,TRUE,Utilities,0
TXN0000027,02-04-2024,8642.19,INR,IMPS Ikea INV/2404/027 GST - office supplies exp,Ikea,True,12%,TRUE,Office Supplies,0
TXN0000028,02-04-2024,6621.61,INR,card ola india pvt ltd bill/2404/028 q2 - exp,OLA INDIA PVT LTD,True,5%,FALSE,Travel,0
TXN0000029,02-04-2024,7740.91,INR,IMPS MICROSOFT INDIA PVT LTD BILL/2404/029 FY25 - software exp /  ref 7825,MICROSOFT INDIA PVT LTD,True,18%,TRUE,Software,0
TXN0000030,02-04-2024,3950.29,INR,OFFICE DEPOT Pvt Ltd,OFFICE DEPOT Pvt Ltd,True,12%,TRUE,Office Supplies,0
TXN0000031,02-04-2024,33992.82,INR, card infy india pvt ltdjinv/2404/031 fy25 - it services exp! ref 9694,INFY INDIA PVT LTD,True,18%,TRUE,IT Services,0
TXN0000032,02-04-2024,5830.77,INR,n/a,STAPLES,True,12%,TRUE,Office Supplies,0
TXN0000033,02-04-2024,3930.8,INR,-auto-debitebill/2404/033 fy24 - exp,GOVT FEES,False,exempt,FALSE,Exempt Services,0
TXN0000034,02-04-2024,29991.94,INR,!imps infy inv/2404/034 subs - it services exp! ref 6894,INFY,True,18%,TRUE,IT Services,0
TXN0000035,02-04-2024,112591.94,INR,rtgs awfis pvt lt drcpt/2404/035 q2 - exp* ref 9668,AWFIS Pvt Ltd,True,18%,TRUE,Rent,0
TXN0000036,03-04-2024,2219.38,INR,NEFT DOMINOS BILL/2404/036 GST - exp,DOMINOS,True,12%,FALSE,Meals,1
TXN0000037,03-04-2024,44506.81,INR,AUTO-DEBIT Wipro INV/2404/037 Q1 r exp,Wipro,True,18%,TRUE,IT Services,0
