transaction_id,transaction_date,amount,currency,description,vendor_name,gst_applicable,gst_slab,itc_eligible,category_label,is_anomaly,amount_noisy,dow
TXN0000001,2024-04-01,7641.92,INR,imps ikea rcpt/2404/001 subs - office supplies exp,IKEA,True,12%,TRUE,Office Supplies,0,8021.50498201796,0
TXN0000002,2024-04-01,58560.14,INR, upi awfis rcpt/2404/002 fy24 - rent exp# ref 6160,Awfis,True,18%,TRUE,Rent,0,57750.46231664132,0
TXN0000003,2024-04-01,2184.95,INR, / imps zomato inv/2404/003 q2 - meals exp,ZOMATO,True,5%,FALSE,Meals,0,2326.4667071323106,0
TXN0000004,2024-04-01,5375.79,INR,*CARD OFFICE DEPOT Pvt Ltd INV/2404/004 FY25 - office supplies exp,OFFICE DEPOT Pvt Ltd,True,12%,TRUE,Office Supplies,0,6194.538867177969,0
TXN0000005,2024-04-01,68830.1,INR,-UPI AWFIS INDIA PVT LTD TAXINV/2404/005 RENT - rent exp /  ref 8883,AWFIS INDIA PVT LTD,True,18%,TRUE,Rent,0,67218.41998024554,0
TXN0000006,2024-04-01,11191.62,INR, / card kseb rcpt/2404/006 rent - utilities exp,KSEB,True,18%,TRUE,Utilities,0,10929.582814986843,0
TXN0000007,2024-04-01,2194.96,INR,NEFT ZOMATO Pvt Ltd BILL/2404/007 Q2 - meals exp! ref 3428,ZOMATO Pvt Ltd,True,5%,FALSE,Meals,0,2541.5908961526106,0
TXN0000008,2024-04-01,66302.55,INR,upi indiqube pvt ltd taxinv/2404/008 subs - rent exp,INDIQUBE Pvt Ltd,True,18%,TRUE,Rent,0,71390.83795013973,0
TXN0000009,2024-04-01,36701.08,INR,UPI TEC.hm BILL/2404/009 GST - it services exp,TEC.hm,True,18%,TRUE,IT Services,0,34978.05830038505,0
TXN0000010,2024-04-01,20461.62,INR,CARD TECHM BILL/2404/010 ADV - it services exp,TECHM,True,18%,TRUE,IT Services,0,21571.785743903944,0
TXN0000011,2024-04-01,48153.44,INR,*auto-debit tcs rcpt/2404/011 fy24 - it services exp,TCS,True,18%,TRUE,IT Services,0,45921.92439342167,0
TXN0000012,2024-04-01,35391.94,INR,*card techm india pvt ltd taxinv/2404/012 fy24 - it services exp,TECHM INDIA PVT LTD,True,18%,TRUE,IT Services,0,33743.63205054267,0
TXN0000013,2024-04-01,12885.91,INR,!NEFT FIG.ma TAXINV/2404/013 Q1 - software exp* ref 3319,FIG.ma,True,18%,TRUE,Software,0,13197.700405479547,0
TXN0000014,2024-04-01,80319.81,INR,upi wework bill/2404/014 subs - rent exp,Wework,True,18%,TRUE,Rent,0,64952.379427233216,0
TXN0000015,2024-04-01,13022.78,INR,auto-debit jiofiber taxinv/2404/015 subs - utilities exp,JIOFIBER,True,18%,TRUE,Utilities,0,10776.457454910593,0
TXN0000016,2024-04-01,32499.02,INR,-AUTO-DEBIT TCS INDIA PVT LTD TAXINV/2404/016 SUBS - it services exp,TCS INDIA PVT LTD,True,18%,TRUE,IT Services,0,30671.640634144707,0
TXN0000017,2024-04-01,3150.9,INR,*card roc fees bill/2404/017 q1 - exempt services exp,ROC FEES,False,exempt,FALSE,Exempt Services,0,2831.7670422938263,0
TXN0000018,2024-04-01,28437.13,INR,!AUTO-DEBIT HCL BILL/2404/018 SUBS - it services exp,HCL,True,18%,TRUE,IT Services,0,29330.759224916506,0
TXN0000019,2024-04-01,2571.78,INR,!AUTO-DEBIT ZOMATO INV/2404/019 GST - meals exp,ZOMATO,True,5%,FALSE,Meals,0,2338.256184305606,0
