transaction_id,transaction_date,hsn_sac_code,code_type,taxable_amount,gst_slab,gst_amount,itc_eligible,business_type
TXNHSN0001,2025-04-03,8471,HSN,48500,18,8730.00,true,goods
TXNSAC0002,2025-04-03,9983,SAC,125000,18,22500.00,true,services
TXNHSN0003,2025-04-04,2106,HSN,8200,5,410.00,false,goods
TXNSAC0004,2025-04-04,9965,SAC,1450,5,72.50,false,services
TXNSAC0005,2025-04-05,9983,SAC,63500,18,11430.00,true,services
TXNHSN0006,2025-04-05,9403,HSN,27500,18,4950.00,true,goods
TXNSAC0007,2025-04-06,9983,SAC,98000,18,17640.00,true,services
TXNHSN0008,2025-04-06,3004,HSN,1320,12,158.40,false,goods
TXNSAC0009,2025-04-07,9973,SAC,45000,18,8100.00,true,services
TXNSAC0010,2025-04-07,9985,SAC,18750,18,3375.00,true,services
TXNHSN0011,2025-04-08,8703,HSN,1450000,28,406000.00,false,goods
TXNSAC0012,2025-04-08,9983,SAC,72000,18,12960.00,true,services
TXNHSN0013,2025-04-09,2106,HSN,3650,5,182.50,false,goods
TXNSAC0014,2025-04-09,9965,SAC,2200,5,110.00,false,services
TXNSAC0015,2025-04-10,9997,SAC,54000,18,9720.00,true,services
TXNHSN0016,2025-04-10,8471,HSN,61500,18,11070.00,true,goods
TXNSAC0017,2025-04-11,9983,SAC,88000,18,15840.00,true,services
TXNHSN0018,2025-04-11,9403,HSN,42500,18,7650.00,true,goods
TXNSAC0019,2025-04-12,9973,SAC,36000,18,6480.00,true,services
TXNSAC0020,2025-04-12,9983,SAC,51000,18,9180.00,true,services
TXNHSN0021,2025-04-13,3004,HSN,950,12,114.00,false,goods
TXNSAC0022,2025-04-13,9965,SAC,1875,5,93.75,false,services
TXNSAC0023,2025-04-14,9985,SAC,26500,18,4770.00,true,services
TXNHSN0024,2025-04-14,2106,HSN,11250,5,562.50,false,goods
TXNSAC0025,2025-04-15,9983,SAC,74500,18,13410.00,true,services
TXNHSN0026,2025-04-15,8471,HSN,38900,18,7002.00,true,goods
TXNSAC0027,2025-04-16,9997,SAC,41500,18,7470.00,true,services
TXNHSN0028,2025-04-16,9403,HSN,58250,18,10485.00,true,goods
TXNSAC0029,2025-04-17,9983,SAC,93500,18,16830.00,true,services
TXNSAC0030,2025-04-17,9965,SAC,1725,5,86.25,false,services
TXNHSN0031,2025-04-18,3004,HSN,1825,12,219.00,false,goods
TXNSAC0032,2025-04-18,9973,SAC,29800,18,5364.00,true,services
TXNSAC0033,2025-04-19,9983,SAC,115000,18,20700.00,true,services
TXNHSN0034,2025-04-19,2106,HSN,6350,5,317.50,false,goods
TXNSAC0035,2025-04-20,9997,SAC,58500,18,10530.00,true,services
TXNHSN0036,2025-04-20,8471,HSN,72500,18,13050.00,true,goods
TXNSAC0037,2025-04-21,9983,SAC,45200,18,8136.00,true,services
TXNHSN0038,2025-04-21,9403,HSN,39800,18,7164.00,true,goods
TXNSAC0039,2025-04-22,9965,SAC,1950,5,97.50,false,services
TXNSAC0040,2025-04-22,9985,SAC,22350,18,4023.00,true,services
TXNHSN0041,2025-04-23,3004,HSN,1140,12,136.80,false,goods
