transaction_id,transaction_date,hsn_sac_code,code_type,taxable_amount,gst_slab,gst_amount,itc_eligible,business_type
TXNHSN0001,2025-04-03,8471,HSN,48500,18,8730.0,True,goods
TXNSAC0002,2025-04-03,9983,SAC,125000,18,22500.0,True,services
TXNHSN0003,2025-04-03,2106,HSN,8200,5,410.0,False,goods
TXNSAC0004,2025-04-03,9965,SAC,1450,5,72.5,False,services
TXNSAC0005,2025-04-03,9983,SAC,63500,18,11430.0,True,services
TXNHSN0006,2025-04-03,9403,HSN,27500,18,4950.0,True,goods
TXNSAC0007,2025-04-03,9983,SAC,98000,18,17640.0,True,services
TXNHSN0008,2025-04-03,3004,HSN,1320,12,158.4,False,goods
TXNSAC0009,2025-04-03,9973,SAC,45000,18,8100.0,True,services
TXNSAC0010,2025-04-03,9985,SAC,18750,18,3375.0,True,services
TXNHSN0011,2025-04-04,8703,HSN,1450000,28,406000.0,False,goods
TXNSAC0012,2025-04-04,9983,SAC,72000,18,12960.0,True,services
TXNHSN0013,2025-04-04,2106,HSN,3650,5,182.5,False,goods
TXNSAC0014,2025-04-04,9965,SAC,2200,5,110.0,False,services
TXNSAC0015,2025-04-04,9997,SAC,54000,18,9720.0,True,services
TXNHSN0016,2025-04-04,8471,HSN,61500,18,11070.0,True,goods
TXNSAC0017,2025-04-04,9983,SAC,88000,18,15840.0,True,services
TXNHSN0018,2025-04-04,9403,HSN,42500,18,7650.0,True,goods
TXNSAC0019,2025-04-04,9973,SAC,36000,18,6480.0,True,services
TXNSAC0020,2025-04-04,9983,SAC,51000,18,9180.0,True,services
TXNHSN0021,2025-04-05,3004,HSN,950,12,114.0,False,goods
TXNSAC0022,2025-04-05,9965,SAC,1875,5,93.75,False,services
TXNSAC0023,2025-04-05,9985,SAC,26500,18,4770.0,True,services
TXNHSN0024,2025-04-05,2106,HSN,11250,5,562.5,False,goods
TXNSAC0025,2025-04-05,9983,SAC,74500,18,13410.0,True,services
TXNHSN0026,2025-04-05,8471,HSN,38900,18,7002.0,True,goods
TXNSAC0027,2025-04-05,9997,SAC,41500,18,7470.0,True,services
TXNHSN0028,2025-04-05,9403,HSN,58250,18,10485.0,True,goods
TXNSAC0029,2025-04-05,9983,SAC,93500,18,16830.0,True,services
TXNSAC0030,2025-04-05,9965,SAC,1725,5,86.25,False,services
TXNHSN0031,2025-04-06,3004,HSN,1825,12,219.0,False,goods
TXNSAC0032,2025-04-06,9973,SAC,29800,18,5364.0,True,services
TXNSAC0033,2025-04-06,9983,SAC,115000,18,20700.0,True,services
TXNHSN0034,2025-04-06,2106,HSN,6350,5,317.5,False,goods
TXNSAC0035,2025-04-06,9997,SAC,58500,18,10530.0,True,services
TXNHSN0036,2025-04-06,8471,HSN,72500,18,13050.0,True,goods
TXNSAC0037,2025-04-06,9983,SAC,45200,18,8136.0,True,services
TXNHSN0038,2025-04-06,9403,HSN,39800,18,7164.0,True,goods
TXNSAC0039,2025-04-06,9965,SAC,1950,5,97.5,False,services
TXNSAC0040,2025-04-06,9985,SAC,22350,18,4023.0,True,services
TXNHSN0041,2025-04-07,3004,HSN,1140,12,136.8,False,goods
TXNSAC0042,2025-04-07,9973,SAC,41250,18,7425.0,True,services
TXNSAC0043,2025-04-07,9983,SAC,66500,18,11970.0,True,services
TXNHSN0044,2025-04-07,2106,HSN,4890,5,244.5,False,goods
