transaction_id,transaction_date,amount,currency,description,vendor_name,gst_applicable,gst_slab,itc_eligible,category_label,is_anomaly,amount_noisy,dow
TXN0000001,2024-04-01,7641.92,INR,service fees,IKEA,True,exempt,false,Office Supplies,0,5567.844445006344,0
TXN0000002,2024-04-01,58560.14,INR, upi awfis rcpt/2404/002 fy24 - ent ex# ref 6160,Awfis,True,12%,unknown,Rent,0,73161.31224507432,0
TXN0000003,2024-04-01,2184.95,INR,bill paid,ZOMATO,True,5%,FALSE,Office Supplies,0,2339.523467329675,0
TXN0000004,2024-04-01,5375.79,INR,!UPI UBER INDIA PVT LTD TAXINV/2501/924 2 - exp rf 7593,OFFICE DEPOT Pvt Ltd,True,exempt,unknown,Office Supplies,0,3351.4089849665647,0
TXN0000005,2024-04-01,68830.1,INR,auto debit,AWFIS INDIA PVT LTD,True,18%,TRUE,Rent,0,58873.82169924511,0
TXN0000006,2024-04-01,11191.62,INR,pymt processed,KSEB,True,18%,TRUE,Utilities,0,15812.182544326806,0
TXN0000007,2024-04-01,2194.96,INR,NEFT ZOMATO Pvt Ltd BILL/2404/007 Q2 - meals exp! ref 3428,ZOMATO Pvt Ltd,True,12%,true,Meals,0,863.3440319804845,0
TXN0000008,2024-04-01,66302.55,INR,upi indiqube pvt ltd taxinv/2404/008 subs - exp,INDIQUBE Pvt Ltd,True,5%,unknown,Rent,0,59193.04974490797,0
TXN0000009,2024-04-01,36701.08,INR,-,TEC.hm,True,18%,TRUE,IT Services,0,48316.38697641313,0
TXN0000010,2024-04-01,20461.62,INR,CARD TECHM BILL/2404/010 ADV - exp,TECHM,True,5%,true,IT Services,0,16027.891812551086,0
TXN0000011,2024-04-01,48153.44,INR,monthly charges,TCS,True,18%,TRUE,Training,0,39980.764107759125,0
TXN0000012,2024-04-01,35391.94,INR,online payment,TECHM INDIA PVT LTD,True,18%,TRUE,IT Services,0,34553.95646348093,0
TXN0000013,2024-04-01,12885.91,INR,!NEFT FIG.m aTAXINV/2404/013 Q1 - exp* ref 3r19,FIG.ma,True,5%,unknown,Software,0,17690.388124292807,0
TXN0000014,2024-04-01,80319.81,INR,upi wework bill/2404/014 subs - rent exp,Wework,True,5%,false,Rent,0,67490.68825441705,0
TXN0000015,2024-04-01,13022.78,INR,online payment,JIOFIBER,True,18%,TRUE,Utilities,0,11577.310153890103,0
TXN0000016,2024-04-01,32499.02,INR,online payment,TCS INDIA PVT LTD,True,18%,TRUE,IT Services,0,28970.022301662073,0
TXN0000017,2024-04-01,3150.9,INR,imps wipro pvt ltd inv/2405/675 tds - exp,ROC FEES,False,exempt,FALSE,Exempt Services,0,4888.5662744149095,0
TXN0000018,2024-04-01,28437.13,INR,,HCL,True,12%,unknown,IT Services,0,43983.61007358478,0
TXN0000019,2024-04-01,2571.78,INR,,ZOMATO,True,28%,unknown,Meals,0,3217.331433371735,0
TXN0000020,2024-04-01,38966.64,INR,bill paid,INF.y,True,18%,TRUE,IT Services,0,42728.73659738573,0
TXN0000021,2024-04-01,4837.54,INR,DOMINOS INDIA PVT LTD chgs,DOMINOS INDIA PVT LTD,True,5%,TRUE,Meals,1,5729.3024951602765,0
TXN0000022,2024-04-02,18469.25,INR,pUTO-DEBIT Techm BILL/2404/022 FY25 - ex,Techm,True,5%,unknown,IT Services,0,25352.425627731034,1
TXN0000023,2024-04-02,6402.14,INR,Office Depot,Office Depot,True,12%,TRUE,Office Supplies,0,4904.305139436578,1
TXN0000024,2024-04-02,19586.26,INR,bill paid,SIMPLILEARN Pvt Ltd,True,12%,true,Training,0,25343.78334666348,1
TXN0000025,2024-04-02,20220.5,INR,bill paid,BESCOM Pvt Ltd,True,18%,TRUE,Utilities,0,13881.976489445275,1
TXN0000026,2024-04-02,14498.96,INR,/ imps awfis india pvt ltd taxinv/2412/731 gst - exp,KSEB Pvt Ltd,True,28%,unknown,Utilities,0,12187.276618997026,1
TXN0000027,2024-04-02,8642.19,INR,bill paid,Ikea,True,12%,TRUE,Office Supplies,0,10602.033863023351,1
TXN0000028,2024-04-02,6621.61,INR,service fees,OLA INDIA PVT LTD,True,5%,FALSE,Travel,0,4256.56839714418,1
TXN0000029,2024-04-02,7740.91,INR,monthly charges,MICROSOFT INDIA PVT LTD,True,28%,true,Software,0,7469.845160801088,1
TXN0000030,2024-04-02,3950.29,INR,OFFICE DEPOT Pvt Ltd,OFFICE DEPOT Pvt Ltd,True,12%,TRUE,Office Supplies,0,3099.2445631086107,1
TXN0000031,2024-04-02,33992.82,INR, card infy icdia pvt ltd in/240/031 fy25 - it services exp! ref 9694,INFY INDIA PVT LTD,True,28%,true,IT Services,0,31820.51418726003,1
TXN0000032,2024-04-02,5830.77,INR,na,STAPLES,True,12%,TRUE,Office Supplies,0,1751.2876503881932,1
TXN0000033,2024-04-02,3930.8,INR,service fees,GOVT FEES,False,exempt,FALSE,Exempt Services,0,2189.9144181981737,1
TXN0000034,2024-04-02,29991.94,INR,!imps infy inv/2404/034 subs - exp! ref 6894,INFY,True,18%,TRUE,IT Services,0,24744.270993143335,1
TXN0000035,2024-04-02,112591.94,INR,rtgs awfis pvt ltd rcpt/2404/035 q2 -exu* ref 9668,AWFIS Pvt Ltd,True,12%,true,Rent,0,138698.13861720412,1
TXN0000036,2024-04-03,2219.38,INR,IMPS Office Depet TAXINV/2501/915 ADV - office supplies xep# ref 2558,DOMINOS,True,28%,false,Meals,1,2759.9508424569417,2
TXN0000037,2024-04-03,44506.81,INR,monthly charges,Wipro,True,18%,TRUE,IT Services,0,57900.01835738098,2
TXN0000038,2024-04-03,3462.58,INR,AUTO-DEBIT Pvt Ltd TAXINV/2404/038 Q1 - exp,GOVT FEES Pvt Ltd,False,exempt,FALSE,Exempt Services,0,5275.837513377779,2
TXN0000039,2024-04-03,6437.96,INR,auto debit,Office Depot,True,18%,false,Office Supplies,0,6529.061566677468,2
TXN0000040,2024-04-03,14437.47,INR,/ UPI UPG.rad TAXINV/2404/040 FY24 - exp,UPG.rad,True,18%,unknown,Training,0,20099.540818060617,2
TXN0000041,2024-04-03,9817.83,INR,UPI KSEB Pvt Ltd BILL/2404/041 RENT - exp- ref 2204,KSEB Pvt Ltd,True,18%,TRUE,Utilities,0,10193.419742330454,2
TXN0000042,2024-04-03,29378.31,INR,INFY,INFY,True,18%,TRUE,IT Services,0,21696.09975785903,2
TXN0000043,2024-04-03,31827.96,INR,card sim.plilearn taxinv/2404/043 tds - exp ref 1111,SIM.plilearn,True,18%,unknown,Training,0,37332.84652511518,2
TXN0000044,2024-04-03,4910.73,INR,auto-debit swiggy inv/2404/044 subs - exp,SWIGGY,True,exempt,false,Travel,0,7299.735840373726,2
TXN0000045,2024-04-03,41773.49,INR,-,INF.y,True,18%,TRUE,IT Services,0,58902.35205921615,2
TXN0000046,2024-04-03,46271.02,INR,IMPS AWFIS Pvt Ltd BILL/2404/046 Q2 - exp# qef 4930,AWFIS Pvt Ltd,True,5%,unknown,Rent,0,59974.4180598422,2
TXN0000047,2024-04-03,19149.73,INR,/ card simplilearn inv/2409/31 fy25 - training exp,SIMPLILEARN INDIA PVT LTD,True,18%,unknown,Training,0,39783.92239382784,2
TXN0000048,2024-04-03,18026.58,INR,UPI SWIGGY Pvt Ltd RCPT/2502/594 GST - exp,HCL,True,5%,false,IT Services,0,25853.65707950319,2
TXN0000049,2024-04-03,93935.93,INR,WEWORK,WEWORK,True,18%,TRUE,Rent,0,151996.71400621827,2
TXN0000050,2024-04-03,7743.88,INR,pymt processed,Figma,True,18%,TRUE,Software,0,15699.915866741447,2
TXN0000051,2024-04-03,124916.34,INR,#NEFT INDIQUBE BILL/2404/051 ADV - exp! ref 3798,INDIQUBE,True,28%,true,Rent,0,109854.21127946836,2
TXN0000052,2024-04-04,24330.84,INR,*card bilf/2404/017 q1 - exp,WIPRO Pvt Ltd,True,18%,TRUE,IT Services,0,23415.8503356755,3
TXN0000053,2024-04-04,9405.88,INR,debit txn,Staples,True,18%,false,Office Supplies,0,17558.01708181276,3
TXN0000054,2024-04-04,34518.11,INR,RTGS WIPRO INDoA PVT LTD TAXINV/2404/054 Q2 - exp ref 48h4,WIPRO INDIA PVT LTD,True,18%,TRUE,IT Services,0,35920.56738336565,3
TXN0000055,2024-04-04,16910.15,INR,Airtel,Airtel,True,18%,TRUE,IT Services,0,22146.32805999701,3
