transaction_id,transaction_date,currency,description,vendor_name,gst_applicable,gst_slab,itc_eligible,category_label,is_anomaly,amount,dow
TXN0000001,01-04-2024,INR,service fees,IKEA,TRUE,exempt,FALSE,Office Supplies,0,5567.844445,0
TXN0000002,01-04-2024,INR, upi awfis rcpt/2404/002 fy24 - ent ex# ref 6160,Awfis,TRUE,12%,unknown,Rent,0,73161.31225,0
TXN0000003,01-04-2024,INR,bill paid,ZOMATO,TRUE,5%,FALSE,Office Supplies,0,2339.523467,0
TXN0000004,01-04-2024,INR,!UPI UBER INDIA PVT LTD TAXINV/2501/924 2 - exp rf 7593,OFFICE DEPOT Pvt Ltd,TRUE,exempt,unknown,Office Supplies,0,3351.408985,0
TXN0000005,01-04-2024,INR,auto debit,AWFIS INDIA PVT LTD,TRUE,18%,TRUE,Rent,0,58873.8217,0
TXN0000006,01-04-2024,INR,pymt processed,KSEB,TRUE,18%,TRUE,Utilities,0,15812.18254,0
TXN0000007,01-04-2024,INR,NEFT ZOMATO Pvt Ltd BILL/2404/007 Q2 - meals exp! ref 3428,ZOMATO Pvt Ltd,TRUE,12%,TRUE,Meals,0,863.344032,0
TXN0000008,01-04-2024,INR,upi indiqube pvt ltd taxinv/2404/008 subs - exp,INDIQUBE Pvt Ltd,TRUE,5%,unknown,Rent,0,59193.04974,0
TXN0000009,01-04-2024,INR,-,TEC.hm,TRUE,18%,TRUE,IT Services,0,48316.38698,0
TXN0000010,01-04-2024,INR,CARD TECHM BILL/2404/010 ADV - exp,TECHM,TRUE,5%,TRUE,IT Services,0,16027.89181,0
TXN0000011,01-04-2024,INR,monthly charges,TCS,TRUE,18%,TRUE,Training,0,39980.76411,0
TXN0000012,01-04-2024,INR,online payment,TECHM INDIA PVT LTD,TRUE,18%,TRUE,IT Services,0,34553.95646,0
TXN0000013,01-04-2024,INR,!NEFT FIG.m aTAXINV/2404/013 Q1 - exp* ref 3r19,FIG.ma,TRUE,5%,unknown,Software,0,17690.38812,0
TXN0000014,01-04-2024,INR,upi wework bill/2404/014 subs - rent exp,Wework,TRUE,5%,FALSE,Rent,0,67490.68825,0
TXN0000015,01-04-2024,INR,online payment,JIOFIBER,TRUE,18%,TRUE,Utilities,0,11577.31015,0
TXN0000016,01-04-2024,INR,online payment,TCS INDIA PVT LTD,TRUE,18%,TRUE,IT Services,0,28970.0223,0
TXN0000017,01-04-2024,INR,imps wipro pvt ltd inv/2405/675 tds - exp,ROC FEES,FALSE,exempt,FALSE,Exempt Services,0,4888.566274,0
TXN0000018,01-04-2024,INR,,HCL,TRUE,12%,unknown,IT Services,0,43983.61007,0
TXN0000019,01-04-2024,INR,,ZOMATO,TRUE,28%,unknown,Meals,0,3217.331433,0
TXN0000020,01-04-2024,INR,bill paid,INF.y,TRUE,18%,TRUE,IT Services,0,42728.7366,0
TXN0000021,01-04-2024,INR,DOMINOS INDIA PVT LTD chgs,DOMINOS INDIA PVT LTD,TRUE,5%,TRUE,Meals,1,5729.302495,0
TXN0000022,02-04-2024,INR,pUTO-DEBIT Techm BILL/2404/022 FY25 - ex,Techm,TRUE,5%,unknown,IT Services,0,25352.42563,1
TXN0000023,02-04-2024,INR,Office Depot,Office Depot,TRUE,12%,TRUE,Office Supplies,0,4904.305139,1
TXN0000024,02-04-2024,INR,bill paid,SIMPLILEARN Pvt Ltd,TRUE,12%,TRUE,Training,0,25343.78335,1
TXN0000025,02-04-2024,INR,bill paid,BESCOM Pvt Ltd,TRUE,18%,TRUE,Utilities,0,13881.97649,1
TXN0000026,02-04-2024,INR,/ imps awfis india pvt ltd taxinv/2412/731 gst - exp,KSEB Pvt Ltd,TRUE,28%,unknown,Utilities,0,12187.27662,1
TXN0000027,02-04-2024,INR,bill paid,Ikea,TRUE,12%,TRUE,Office Supplies,0,10602.03386,1
TXN0000028,02-04-2024,INR,service fees,OLA INDIA PVT LTD,TRUE,5%,FALSE,Travel,0,4256.568397,1
TXN0000029,02-04-2024,INR,monthly charges,MICROSOFT INDIA PVT LTD,TRUE,28%,TRUE,Software,0,7469.845161,1
TXN0000030,02-04-2024,INR,OFFICE DEPOT Pvt Ltd,OFFICE DEPOT Pvt Ltd,TRUE,12%,TRUE,Office Supplies,0,3099.244563,1
TXN0000031,02-04-2024,INR, card infy icdia pvt ltd in/240/031 fy25 - it services exp! ref 9694,INFY INDIA PVT LTD,TRUE,28%,TRUE,IT Services,0,31820.51419,1
TXN0000032,02-04-2024,INR,na,STAPLES,TRUE,12%,TRUE,Office Supplies,0,1751.28765,1
TXN0000033,02-04-2024,INR,service fees,GOVT FEES,FALSE,exempt,FALSE,Exempt Services,0,2189.914418,1
TXN0000034,02-04-2024,INR,!imps infy inv/2404/034 subs - exp! ref 6894,INFY,TRUE,18%,TRUE,IT Services,0,24744.27099,1
TXN0000035,02-04-2024,INR,rtgs awfis pvt ltd rcpt/2404/035 q2 -exu* ref 9668,AWFIS Pvt Ltd,TRUE,12%,TRUE,Rent,0,138698.1386,1
TXN0000036,03-04-2024,INR,IMPS Office Depet TAXINV/2501/915 ADV - office supplies xep# ref 2558,DOMINOS,TRUE,28%,FALSE,Meals,1,2759.950842,2
TXN0000037,03-04-2024,INR,monthly charges,Wipro,TRUE,18%,TRUE,IT Services,0,57900.01836,2
TXN0000038,03-04-2024,INR,AUTO-DEBIT Pvt Ltd TAXINV/2404/038 Q1 - exp,GOVT FEES Pvt Ltd,FALSE,exempt,FALSE,Exempt Services,0,5275.837513,2
TXN0000039,03-04-2024,INR,auto debit,Office Depot,TRUE,18%,FALSE,Office Supplies,0,6529.061567,2
TXN0000040,03-04-2024,INR,/ UPI UPG.rad TAXINV/2404/040 FY24 - exp,UPG.rad,TRUE,18%,unknown,Training,0,20099.54082,2
TXN0000041,03-04-2024,INR,UPI KSEB Pvt Ltd BILL/2404/041 RENT - exp- ref 2204,KSEB Pvt Ltd,TRUE,18%,TRUE,Utilities,0,10193.41974,2
TXN0000042,03-04-2024,INR,INFY,INFY,TRUE,18%,TRUE,IT Services,0,21696.09976,2
TXN0000043,03-04-2024,INR,card sim.plilearn taxinv/2404/043 tds - exp ref 1111,SIM.plilearn,TRUE,18%,unknown,Training,0,37332.84653,2
TXN0000044,03-04-2024,INR,auto-debit swiggy inv/2404/044 subs - exp,SWIGGY,TRUE,exempt,FALSE,Travel,0,7299.73584,2
TXN0000045,03-04-2024,INR,-,INF.y,TRUE,18%,TRUE,IT Services,0,58902.35206,2
TXN0000046,03-04-2024,INR,IMPS AWFIS Pvt Ltd BILL/2404/046 Q2 - exp# qef 4930,AWFIS Pvt Ltd,TRUE,5%,unknown,Rent,0,59974.41806,2
TXN0000047,03-04-2024,INR,/ card simplilearn inv/2409/31 fy25 - training exp,SIMPLILEARN INDIA PVT LTD,TRUE,18%,unknown,Training,0,39783.92239,2
TXN0000048,03-04-2024,INR,UPI SWIGGY Pvt Ltd RCPT/2502/594 GST - exp,HCL,TRUE,5%,FALSE,IT Services,0,25853.65708,2
TXN0000049,03-04-2024,INR,WEWORK,WEWORK,TRUE,18%,TRUE,Rent,0,151996.714,2
TXN0000050,03-04-2024,INR,pymt processed,Figma,TRUE,18%,TRUE,Software,0,15699.91587,2
TXN0000051,03-04-2024,INR,#NEFT INDIQUBE BILL/2404/051 ADV - exp! ref 3798,INDIQUBE,TRUE,28%,TRUE,Rent,0,109854.2113,2
TXN0000052,04-04-2024,INR,*card bilf/2404/017 q1 - exp,WIPRO Pvt Ltd,TRUE,18%,TRUE,IT Services,0,23415.85034,3
TXN0000053,04-04-2024,INR,debit txn,Staples,TRUE,18%,FALSE,Office Supplies,0,17558.01708,3
TXN0000054,04-04-2024,INR,RTGS WIPRO INDoA PVT LTD TAXINV/2404/054 Q2 - exp ref 48h4,WIPRO INDIA PVT LTD,TRUE,18%,TRUE,IT Services,0,35920.56738,3
TXN0000055,04-04-2024,INR,Airtel,Airtel,TRUE,18%,TRUE,IT Services,0,22146.32806,3
TXN0000056,04-04-2024,INR,OFFICE DEPOT chgs,OFFICE DEPOT,TRUE,12%,TRUE,Office Supplies,0,7233.486798,3
TXN0000057,04-04-2024,INR,Adobe,Adobe,TRUE,exempt,TRUE,Software,0,15023.31591,3
TXN0000058,04-04-2024,INR,debit txn,Dominos,TRUE,12%,FALSE,Meals,0,4935.186091,3
TXN0000059,04-04-2024,INR,pymt processed,Ikea,TRUE,exempt,TRUE,Office Supplies,0,6613.298781,3
TXN0000060,04-04-2024,INR,*card ikea bill/2404/060 subs - office supplies exp,IKEA,TRUE,12%,TRUE,Office Supplies,0,12627.354,3
TXN0000061,04-04-2024,INR,-,Uber,TRUE,12%,unknown,Travel,0,8155.098021,3
TXN0000062,05-04-2024,INR,pymt processed,WEWORK,TRUE,18%,TRUE,Rent,0,970937.6515,4
TXN0000063,05-04-2024,INR,!NEFT WEWORK INDIA PVT LTD TAXINV/2404/063 - exp,WEWORK INDIA PVT LTD,TRUE,5%,FALSE,Rent,0,853402.4073,4
TXN0000064,05-04-2024,INR,*neft ikea india pvtgltd rcpt/2409/161tfy24 - exp,AIRTEL,TRUE,5%,FALSE,Utilities,0,31008.12972,4
TXN0000065,05-04-2024,INR,pymt processed,Jiofiber,TRUE,12%,FALSE,Utilities,0,138648.0972,4
TXN0000066,05-04-2024,INR,IMPS KSEB INV/2404/066 ADV - exp / ref 3871,KSEB,TRUE,18%,TRUE,Utilities,0,131089.0656,4
TXN0000067,05-04-2024,INR,#UPI JIOFIBER INV/2404/067 FY25 - utilities exp,JIOFIBER,TRUE,18%,TRUE,Utilities,0,79118.70272,4
TXN0000068,05-04-2024,INR,ZOMATO Pvt Ltd chgs,ADOBE,TRUE,5%,unknown,Software,0,26972.28146,4
TXN0000069,05-04-2024,INR,upi kfc pvt ltd taxinv/2404/069 q2 - exp ref 6802,KFC Pvt Ltd,TRUE,5%,FALSE,Meals,0,5842.267464,4
TXN0000070,05-04-2024,INR,-imps ikea taxniv/2404/070 gst - exp,IKEA,TRUE,12%,TRUE,Office Supplies,0,18020.9318,4
TXN0000071,05-04-2024,INR,bill paid,WIPRO,TRUE,5%,FALSE,IT Services,0,205449.9503,4
TXN0000072,05-04-2024,INR,imps kfc taxanv/2404/072 adv - exp,Kfc,TRUE,18%,TRUE,Meals,0,17913.54896,4
TXN0000073,05-04-2024,INR,bill paid,Wework,TRUE,12%,unknown,Rent,0,735802.4428,4
TXN0000074,05-04-2024,INR,RTGS SWIGGY Pvt Ltd TAXINV/2404/074 TDS - exp* ref 7576,SWIGGY Pvt Ltd,TRUE,28%,unknown,Meals,0,20827.97109,4
TXN0000075,06-04-2024,INR,na,GOVT FEES Pvt Ltd,FALSE,5%,TRUE,Exempt Services,0,3138.417601,5
TXN0000076,06-04-2024,INR,service fees,AIRTEL,TRUE,18%,TRUE,IT Services,0,36737.46578,5
TXN0000077,06-04-2024,INR,-AUTO-DEBIT Wipro TAXINV/2404/077 FY24 - exp# rfe 474,Wipro,TRUE,5%,TRUE,IT Services,0,104369.208,5
TXN0000078,06-04-2024,INR,service fees,BESCOM,TRUE,18%,TRUE,Utilities,0,29473.39772,5
TXN0000079,06-04-2024,INR,,Ola,TRUE,5%,FALSE,Travel,0,11311.99246,5
TXN0000080,06-04-2024,INR,-RTGS HC LINV/2404/080 FY25 - exp,HCL,TRUE,5%,TRUE,IT Services,0,54985.16564,5
TXN0000081,06-04-2024,INR,NEF HCL PvtLtd BILL/2409/201 ADV - exp,JIOFIBER INDIA PVT LTD,TRUE,5%,unknown,Utilities,0,52857.82301,5
TXN0000082,06-04-2024,INR,/ IMPS AWFIS INDIA PVT LTD RCPT/2404/082 ADV - exp,AWFIS INDIA PVT LTD,TRUE,18%,TRUE,Rent,0,188808.5426,5
TXN0000083,06-04-2024,INR,service fees,WIPRO,TRUE,18%,TRUE,IT Services,0,196411.3915,5
TXN0000084,06-04-2024,INR,neft bescom rcpt/244/084 q1 - exp,Bescom,TRUE,12%,TRUE,Utilities,0,126997.0058,5
TXN0000085,06-04-2024,INR,*nmft rapido inv/2404/805 fy25 - travel exp,Rapido,TRUE,28%,unknown,Travel,0,10295.16547,5
TXN0000086,06-04-2024,INR,*upi simplilearn taxinv/2407/401 tds - training exp# ref 6254,JIOFIBER,TRUE,18%,TRUE,Utilities,0,22281.53684,5
TXN0000087,06-04-2024,INR,1MPS Figma TAXINV/2404r087 Q2 - exp* ref 696I,Figma,TRUE,5%,TRUE,Software,0,35373.30678,5
TXN0000088,06-04-2024,INR,pymt processed,AWFIS,TRUE,18%,TRUE,Rent,0,309590.054,5
TXN0000089,06-04-2024,INR,UPI yPG.rad RCjT/2404/089 Q2 - exp# ref 7070,UPG.rad,TRUE,5%,unknown,Training,1,179707.3762,5
TXN0000090,06-04-2024,INR,!card canva tacinv/2406/188 1 - exp ref 5410,JIOFIBER INDIA PVT LTD,TRUE,5%,TRUE,Utilities,0,59319.96923,5
TXN0000091,06-04-2024,INR,online payment,JIOFIBER INDIA PVT LTD,TRUE,5%,unknown,Utilities,0,35889.90511,5
TXN0000092,06-04-2024,INR,monthly charges,OFF.ice depot,TRUE,exempt,FALSE,Office Supplies,0,11350.92443,5
TXN0000093,06-04-2024,INR,neft techm inv/2404/093 gst - it services exp,Techm,TRUE,5%,FALSE,IT Services,0,189018.6562,5
TXN0000094,06-04-2024,INR,*rtgs wpro india pt ltd bill/2404/094 fy25 - exp,WIPRO INDIA PVT LTD,TRUE,18%,TRUE,IT Services,0,93615.29558,5
TXN0000095,06-04-2024,INR,monthly charges,WIPRO,TRUE,18%,TRUE,IT Services,0,174464.661,5
TXN0000096,06-04-2024,INR,RTGS IND.iqube INV/2404/096 Q1 - exp,IND.iqube,TRUE,18%,TRUE,Rent,0,460816.9861,5
TXN0000097,06-04-2024,INR,debit txn,KFC,TRUE,5%,FALSE,Meals,0,2625.238343,5
TXN0000098,07-04-2024,INR,-,AIR.tel,TRUE,28%,unknown,Utilities,0,40537.75563,6
TXN0000099,07-04-2024,INR,monthly charges,Zomato,TRUE,12%,TRUE,Meals,0,7349.876029,6
TXN0000100,07-04-2024,INR,aut-debit rpa.ido inv/2404/100 fy24 - exp,RAP.ido,TRUE,5%,FALSE,Travel,0,18740.98077,6
TXN0000101,07-04-2024,INR,/ CARD RAPIDO INDIA PVT LTD INV/2404/101 TDS - exp,RAPIDO INDIA PVT LTD,TRUE,18%,TRUE,Travel,0,21931.73383,6
TXN0000102,07-04-2024,INR,monthly charges,JIOFIBER,TRUE,18%,TRUE,Utilities,0,7153.591862,6
TXN0000103,07-04-2024,INR,Airtel,Airtel,TRUE,exempt,FALSE,IT Services,0,41763.84872,6
TXN0000104,07-04-2024,INR,-,OFFICE DEPOT,TRUE,18%,TRUE,Office Supplies,0,24040.32171,6
TXN0000105,07-04-2024,INR,WEWORK chgs,WEWORK,TRUE,exempt,TRUE,Rent,0,388388.2037,6
TXN0000106,07-04-2024,INR,FIGMA,ZOMATO Pvt Ltd,TRUE,12%,unknown,Office Supplies,0,10268.69158,6
TXN0000107,07-04-2024,INR,WIP.ro,WIP.ro,TRUE,12%,TRUE,IT Services,0,108649.1158,6
TXN0000108,07-04-2024,INR,CARD BESCOM TAXINV/2404/108 Q2 - exp,BESCOM,TRUE,18%,TRUE,Utilities,0,31677.94895,6
TXN0000109,07-04-2024,INR,CARD TEC.hm TAXINV/2404/109 FY25 - exp- ref 8706,TEC.hm,TRUE,exempt,FALSE,IT Services,0,76748.72029,6
TXN0000110,07-04-2024,INR,AUTO-DEBIT CANVA Pvt Ltd INV/2404/110 FY24 - exp,CANVA Pvt Ltd,TRUE,18%,TRUE,Software,0,14430.95166,6
TXN0000111,07-04-2024,INR,AUTO-DEBITA IR.tel INV/2405/434 Q - exp,IKEA INDIA PVT LTD,TRUE,12%,TRUE,Office Supplies,0,14199.16364,6
TXN0000112,07-04-2024,INR,/ imp dom.inos billj2501/168 q2 - exp* ref 9049,AIRTEL,TRUE,18%,TRUE,Utilities,0,36319.15208,6
TXN0000113,07-04-2024,INR,CARD WIPRO TAXINV/2404/113 ADV - exp,WIPRO,TRUE,18%,TRUE,IT Services,0,48179.58702,6
TXN0000114,07-04-2024,INR, ,CANVA INDIA PVT LTD,TRUE,12%,unknown,Software,0,20871.56608,6
TXN0000115,07-04-2024,INR,CARD IKEA INDIA PVT LTD BILL/2404/111 GST - exp,COURSERA Pvt Ltd,TRUE,12%,unknown,Training,0,139479.6553,6
TXN0000116,07-04-2024,INR,auto debit,INDIGO INDIA PVT LTD,TRUE,exempt,TRUE,Travel,0,19922.76823,6
TXN0000117,07-04-2024,INR,monthly charges,KSEB Pvt Ltd,TRUE,5%,FALSE,Utilities,0,32754.92667,6
TXN0000118,08-04-2024,INR,!IMPS MICROSOFT Ptv Ltd BILL/2407/506 Q2 - softwaree xp,INDIQUBE INDIA PVT LTD,TRUE,18%,TRUE,Rent,0,68741.83708,0
TXN0000119,08-04-2024,INR,debit txn,KFC,TRUE,12%,unknown,Meals,0,8072.231243,0
TXN0000120,08-04-2024,INR,monthly charges,TCS,TRUE,18%,TRUE,Training,0,19682.4828,0
TXN0000121,08-04-2024,INR,/ CARD Canva RCPT/2404/121 RENT - exp,Canva,TRUE,exempt,TRUE,Software,0,8706.309178,0
TXN0000122,08-04-2024,INR,NEFT ZOMATO RCPT/2404122 FY25 - exp,ZOMATO,TRUE,exempt,FALSE,Office Supplies,1,3292.745411,0
TXN0000123,08-04-2024,INR,#rtgs wipro pvt ltd inv/2405/765 fy24 - exp- ref 2937,HCL INDIA PVT LTD,TRUE,18%,TRUE,IT Services,0,42704.67507,0
TXN0000124,08-04-2024,INR,IMPS AWFIS Pvt Ltd TAXNIV/2404/12q GST - exp,AWFIS Pvt Ltd,TRUE,18%,TRUE,Rent,0,95798.08714,0
TXN0000125,08-04-2024,INR,monthly charges,Dominos,TRUE,12%,unknown,Meals,0,3906.789781,0
TXN0000126,08-04-2024,INR,CAN.va,CAN.va,TRUE,28%,FALSE,Software,0,10183.7668,0
TXN0000127,08-04-2024,INR,RGS RAPIDO RCPT/2404/127 FY25 - exp / ref 2249,RAPIDO,TRUE,28%,FALSE,Travel,0,4709.465503,0
TXN0000128,08-04-2024,INR,CARD Techm BILL/2410/734 Q1 - exp- ref 2359,Dominos,TRUE,5%,FALSE,Meals,0,3682.036116,0
TXN0000129,08-04-2024,INR,nefo airtel taxinv/2404/129 fy25 - exp* ref 9401,AIRTEL,TRUE,18%,TRUE,IT Services,0,14485.40854,0
TXN0000130,08-04-2024,INR,auto debit,KSEB INDIA PVT LTD,TRUE,exempt,FALSE,Utilities,0,13875.86304,0
TXN0000131,09-04-2024,INR,#NEFT KFC RCPT/2404/131 GST - exp,KFC,TRUE,5%,FALSE,Meals,0,2303.467302,1
TXN0000132,09-04-2024,INR,/ upi canva inv2409/233 fy25 - exp,KSEB Pvt Ltd,TRUE,18%,TRUE,Utilities,0,7046.851737,1
TXN0000133,09-04-2024,INR,auto debit,KSEB Pvt Ltd,TRUE,5%,TRUE,Utilities,0,10302.16359,1
TXN0000134,09-04-2024,INR,pTGS RCPT/2404/134 TDS - exR,Stamp Duty,FALSE,exempt,FALSE,Exempt Services,0,3714.662479,1
TXN0000135,09-04-2024,INR,AWF.is,AWF.is,TRUE,18%,TRUE,Rent,0,121191.8117,1
