transaction_id,date,description,amount,vendor,raw_category
TXN0001,09-12-2025,Awfis payment for rent business,42976.56,Awfis,Rent
TXN0002,09-12-2025,Zomato payment for meals wait,33540.48,Zomato,Meals
TXN0003,09-12-2025,Adobe payment for software because,4670.02,Adobe,Software
TXN0004,09-12-2025,Airtel payment for utilities beautiful,23616.59,Airtel,Utilities
TXN0005,09-12-2025,KSEB payment for utilities page,36346.58,KSEB,Utilities
TXN0006,09-12-2025,Rapido payment for travel human,16261.78,Rapido,Travel
TXN0007,09-12-2025,Awfis payment for rent idea,31173.46,Awfis,Rent
TXN0008,09-12-2025,Swiggy payment for meals sit,24202.85,Swiggy,Meals
TXN0009,09-12-2025,Azure payment for it services choice,42890.07,Azure,IT Services
TXN0010,09-12-2025,Azure payment for it services wrong,17965.49,Azure,IT Services
TXN0011,09-12-2025,Adobe payment for software they,17944.16,Adobe,Software
TXN0012,09-12-2025,Staples payment for office supplies information,30198.03,Staples,Office Supplies
TXN0013,09-12-2025,Dominos payment for meals energy,36976.24,Dominos,Meals
TXN0014,09-12-2025,Figma payment for software wide,38367.02,Figma,Software
TXN0015,09-12-2025,IndiQube payment for rent personal,8929.08,IndiQube,Rent
TXN0016,09-12-2025,Ola payment for travel sort,1883.21,Ola,Travel
TXN0017,09-12-2025,Rapido payment for travel personal,30773.23,Rapido,Travel
TXN0018,09-12-2025,Google Cloud payment for it services study,4515.3,Google Cloud,IT Services
TXN0019,09-12-2025,Google Cloud payment for it services strong,40884.61,Google Cloud,IT Services
TXN0020,09-12-2025,Airtel payment for utilities onto,40732.72,Airtel,Utilities
TXN0021,09-12-2025,Canva payment for software share,46688.53,Canva,Software
TXN0022,09-12-2025,Canva payment for software red,3934.82,Canva,Software
TXN0023,09-12-2025,Airtel payment for utilities forward,8978.14,Airtel,Utilities
TXN0024,09-12-2025,Office Depot payment for office supplies likely,49760.26,Office Depot,Office Supplies
TXN0025,09-12-2025,Uber payment for travel buy,40123.87,Uber,Travel
TXN0026,09-12-2025,Google Cloud payment for it services sport,26279.44,Google Cloud,IT Services
TXN0027,09-12-2025,Dominos payment for meals her,541.64,Dominos,Meals
TXN0028,09-12-2025,Ola payment for travel pull,34967.11,Ola,Travel
TXN0029,09-12-2025,Azure payment for it services season,42647.54,Azure,IT Services
